createDate,taskName,mode,weaponName,map,version,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
03/17/2021 08:10:31,reflexshot,11,9mm,0,-gitBranch.285,91.66667,100.0,71.0,100.0,100.0,100.0,75.0,86.0,100.0,617.851861063639,563.13467407226563,590.18430328369152,604.08889334542414,586.45034408569347,620.34759521484375,673.61485944475442,668.10055977957586,625.39070545543325,60,60,0.9181474,55
03/11/2021 07:12:56,reflexshot,11,9mm,0,-gitBranch.285,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,602.36022796630891,536.57840728759777,649.57598198784717,535.75305611746649,537.564453125,677.26175537109373,631.34120686848951,638.20389133029516,642.32286725725453,60,60,1.001589,60
03/11/2021 07:11:25,reflexshot,11,9mm,0,-gitBranch.285,88.3333359,80.0,100.0,89.0,100.0,90.0,100.0,88.0,50.0,611.85183970133448,552.60664672851567,616.56671651204431,597.34995422363272,549.09771728515625,648.25676879882815,624.88370513916016,631.05486297607433,650.23617553710938,60,60,0.884726942,53
03/11/2021 07:09:31,reflexshot,11,9mm,0,-gitBranch.285,76.6666641,100.0,83.0,67.0,56.0,67.0,62.0,89.0,100.0,616.70409901936841,532.71477508544922,568.457051595052,630.90093994140625,579.46506958007808,656.22209167480469,658.32247543334961,651.43430175781248,679.75738525390625,60,60,0.767868638,46
03/11/2021 07:08:22,reflexshot,11,9mm,0,-gitBranch.285,68.3333359,56.0,67.0,57.0,50.0,83.0,60.0,67.0,100.0,604.61567942301417,561.95089043511291,573.61164686414929,580.0341840471541,595.82828267415368,650.10310363769531,672.072499593099,600.95384046766492,635.00384521484375,60,60,0.684404433,41
03/03/2021 05:24:00,reflexshot,10,9mm,0,-gitBranch.285,98.36066,89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,511.15014546712234,444.99341201782227,501.96014912923175,452.71296691894531,496.57514299665178,553.48257064819336,503.24165954589853,545.51196034749353,560.80039672851558,60,61,1.0015806,60
03/03/2021 05:22:49,reflexshot,10,9mm,0,-gitBranch.285,89.0625,100.0,57.0,75.0,100.0,100.0,91.0,91.0,86.0,510.31325988769527,429.88565402560766,476.77090454101563,513.332145690918,444.43656703404019,526.11265345982144,537.14521789550781,561.42416659268463,582.48469034830737,60,64,0.9515042,57
03/03/2021 05:21:39,reflexshot,10,9mm,0,-gitBranch.285,80.5970154,100.0,64.0,86.0,57.0,100.0,78.0,91.0,75.0,493.01616516113273,416.41374206542969,455.9465301513672,479.83863830566406,460.92876688639319,490.32095772879467,511.75279889787947,527.49184348366475,580.21302141462058,60,67,0.9013948,54
03/02/2021 02:06:57,reflexshot,3,9mm,0,-gitBranch.285,92.10526,95.0,94.0,80.0,96.0,0.0,0.0,0.0,0.0,592.365592643006,570.29876055036266,580.7685990767045,646.55030129172587,572.104228428432,656.86358642578125,657.47994995117188,576.28837890625,596.54568481445313,74,76,1.168538,70
03/02/2021 01:41:21,reflexshot,3,9mm,0,-gitBranch.285,96.05263,100.0,89.0,100.0,95.0,0.0,0.0,0.0,0.0,548.78502289236417,500.78706988166363,563.02154380396792,559.456521841196,554.73648071289063,607.79941813151038,562.0299072265625,584.8864624023438,536.96137491861975,74,76,1.21862543,73
02/24/2021 23:39:45,reflexshot,3,9mm,0,-gitBranch.285,91.13924,89.0,94.0,100.0,84.0,0.0,0.0,0.0,0.0,542.97627989886564,547.74846055772559,553.27065335787267,537.02472795758933,516.03517150878906,554.65443929036462,616.34218343098962,561.3297119140625,520.50836181640625,74,79,1.20189524,72
02/23/2021 20:47:28,reflexshot,10,9mm,0,-gitBranch.285,83.58209,100.0,78.0,89.0,91.0,78.0,100.0,60.0,100.0,559.53647257486978,489.54967244466144,545.33349609375,512.08847808837879,509.81491699218748,570.25353622436523,592.657488141741,614.84739515516492,605.88632583618164,60,67,0.934826553,56
02/23/2021 20:46:16,reflexshot,10,9mm,0,-gitBranch.285,78.125,78.0,75.0,89.0,100.0,33.0,88.0,88.0,83.0,537.79434000651054,539.41044616699219,528.80009678431918,488.10464138454859,453.77841186523438,577.87894058227539,530.93361663818359,552.723153250558,627.94305419921875,60,64,0.8346776,50
02/23/2021 16:51:32,reflexshot,3,9mm,0,-gitBranch.285,89.87341,92.0,83.0,82.0,100.0,0.0,0.0,0.0,0.0,543.43495199125107,522.64468553331164,584.474588394165,529.88653564453125,489.77312400124288,543.79526977539058,573.24302673339844,634.067626953125,567.18193054199219,74,79,1.1852138,71
02/23/2021 02:20:57,reflexshot,3,9mm,0,-gitBranch.285,86.419754,84.0,78.0,94.0,94.0,0.0,0.0,0.0,0.0,512.55581495496961,519.96617820046174,536.43450317382826,479.71461134690503,473.63245592619251,592.006462097168,538.49264526367188,618.44512939453125,0,74,81,1.16853464,70
02/23/2021 02:10:22,reflexshot,3,9mm,0,-gitBranch.285,87.341774,100.0,85.0,74.0,92.0,0.0,0.0,0.0,0.0,528.78034422132714,496.03566487630206,514.1385555267334,523.7080078125,517.94395045230272,672.9759521484375,577.13023376464844,569.05722045898438,597.74835815429685,74,79,1.15182328,69
02/21/2021 01:14:32,reflexshot,10,9mm,0,-gitBranch.285,75.36232,50.0,88.0,83.0,90.0,86.0,89.0,80.0,40.0,533.01502532959012,546.35478428431918,512.91856002807617,569.9231079101562,475.93773735894104,592.88784281412768,512.71490478515625,516.854254828559,585.22355433872769,60,69,0.8680233,52
