createDate,taskName,mode,weaponName,map,version,OTR,avgTimeOn,maxTimeOn,avgTimeOff,maxTimeOff,missUp,missUpLeft,missUpRight,missLeft,missRight,missDown,missDownLeft,missDownRight
02/22/2021 23:25:47,spheretrack,10,9mm,0,-gitBranch.285,63.0,272.732849,1480.00159,157.999985,744.000061,124,237,309,594,878,86,211,299
02/22/2021 23:24:34,spheretrack,10,9mm,0,-gitBranch.285,61.0,271.030273,1752.00208,162.424225,663.999939,48,125,147,848,804,101,375,300
02/22/2021 23:23:18,spheretrack,10,9mm,0,-gitBranch.285,56.0,256.254,1376.00134,200.19043,928.0004,228,359,411,650,977,91,215,311
02/22/2021 06:22:39,spheretrack,10,9mm,0,-gitBranch.285,61.0,255.7664,1128.00085,162.608673,631.9999,107,260,335,675,635,172,255,292
02/22/2021 06:21:24,spheretrack,10,9mm,0,-gitBranch.285,58.9999962,268.535431,1528.00171,186.015717,800.0002,92,130,127,893,802,183,356,411
02/22/2021 06:08:54,spheretrack,10,9mm,2,-gitBranch.285,51.0,207.485687,1064.00073,202.099258,1024.00061,187,507,327,967,817,205,388,300
02/22/2021 06:07:31,spheretrack,10,9mm,2,-gitBranch.285,52.9999962,217.142853,1440.00146,190.63826,920.0004,117,197,442,686,622,153,302,317
