createDate,taskName,mode,weaponName,map,version,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,FA,targetsTotal
03/03/2021 05:38:33,detection,10,9mm,0,-gitBranch.285,522.37902526855464,480.98732503255206,483.88420867919922,515.48231506347656,498.48322550455731,564.9822998046875,610.58184814453125,520.50732421875,572.210439046224,0,20
03/03/2021 05:38:33,detection,10,9mm,0,-gitBranch.285,522.37902526855464,480.98732503255206,483.88420867919922,515.48231506347656,498.48322550455731,564.9822998046875,610.58184814453125,520.50732421875,572.210439046224,0,20
02/24/2021 04:39:00,detection,0,9mm,0,-gitBranch.285,540.338119506836,0,508.62603149414065,590.30328369140625,497.40357971191406,577.55320739746094,553.01315307617188,540.357666015625,535.183349609375,0,20
02/24/2021 04:39:00,detection,0,9mm,0,-gitBranch.285,540.338119506836,0,508.62603149414065,590.30328369140625,497.40357971191406,577.55320739746094,553.01315307617188,540.357666015625,535.183349609375,0,20
02/24/2021 04:17:26,detection,0,9mm,0,-gitBranch.285,568.96015930175781,620.3531595865885,688.592529296875,519.9208984375,526.42248916625977,0,588.75680541992188,574.17538452148438,563.87255859375,0,20
02/24/2021 04:17:26,detection,0,9mm,0,-gitBranch.285,568.96015930175781,620.3531595865885,688.592529296875,519.9208984375,526.42248916625977,0,588.75680541992188,574.17538452148438,563.87255859375,0,20
02/22/2021 06:51:10,detection,10,9mm,0,-gitBranch.285,1184.53212890625,549.75509643554688,516.82867431640625,528.93310546875,557.32797241210938,637.51930745442712,1284.8834350585937,2683.1793975830078,832.0888671875,0,20
02/22/2021 06:51:10,detection,10,9mm,0,-gitBranch.285,1184.53212890625,549.75509643554688,516.82867431640625,528.93310546875,557.32797241210938,637.51930745442712,1284.8834350585937,2683.1793975830078,832.0888671875,0,20
02/21/2021 23:14:01,detection,0,9mm,0,-gitBranch.285,804.83276672363274,658.40692138671875,1386.9729614257813,594.38814290364587,567.27567545572913,778.10772705078125,622.01556396484375,721.00665283203125,710.55546569824219,0,20
02/21/2021 23:14:01,detection,0,9mm,0,-gitBranch.285,804.83276672363274,658.40692138671875,1386.9729614257813,594.38814290364587,567.27567545572913,778.10772705078125,622.01556396484375,721.00665283203125,710.55546569824219,0,20
02/21/2021 02:57:19,detection,0,9mm,0,-gitBranch.285,521.5861404418946,493.4276123046875,484.73407745361328,505.79768371582031,496.29726409912109,588.8787841796875,539.616455078125,585.888427734375,517.05377197265625,0,20
02/21/2021 02:57:19,detection,0,9mm,0,-gitBranch.285,521.5861404418946,493.4276123046875,484.73407745361328,505.79768371582031,496.29726409912109,588.8787841796875,539.616455078125,585.888427734375,517.05377197265625,0,20
02/21/2021 01:24:06,detection,0,9mm,0,-gitBranch.285,534.179264831543,499.25308227539063,511.88224283854169,500.87964884440106,525.84233601888025,635.28118896484375,539.23854827880859,577.78118896484375,543.6875,1,20
02/21/2021 01:24:06,detection,0,9mm,0,-gitBranch.285,534.179264831543,499.25308227539063,511.88224283854169,500.87964884440106,525.84233601888025,635.28118896484375,539.23854827880859,577.78118896484375,543.6875,1,20
