createDate,taskName,mode,weaponName,map,version,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
03/24/2021 09:07:17,spidershot,10,9mm,0,-gitBranch.285,90.0,86.0,89.0,100.0,100.0,89.0,83.0,93.0,83.0,499.90925380161826,417.6807963053385,491.71787203275238,445.74415152413508,452.69937603290265,537.70609029134118,608.71718788146973,496.00180489676342,521.49606323242188,120,130,1.95312715,117
03/24/2021 09:05:27,spidershot,10,9mm,0,-gitBranch.285,90.15151,100.0,88.0,100.0,100.0,79.0,82.0,81.0,94.0,489.89844544207466,469.20502433776863,491.74680822035839,408.07239205496649,418.9329772949219,447.14734590970556,619.2497582068811,571.5708901541575,510.10319709777832,122,132,1.98649931,119
03/15/2021 08:29:01,spidershot,10,9mm,0,-gitBranch.285,91.04478,100.0,88.0,88.0,94.0,100.0,94.0,79.0,88.0,486.94135309234866,423.14134928385414,443.78655133928578,422.48401260375982,454.55605265299477,475.30754241943367,583.33104212143837,597.31516911433289,494.17744954427087,124,134,2.03659463,122
03/15/2021 00:58:53,spidershot,10,9mm,0,-gitBranch.285,91.47287,74.0,100.0,88.0,88.0,100.0,100.0,100.0,88.0,502.39609816094384,497.95643733097961,439.45086904672473,505.0723552703858,485.1612117991728,535.044727526213,522.975836617606,476.40191650390631,537.70719197591143,120,129,1.96983182,118
03/11/2021 07:01:24,spidershot,10,9mm,0,-gitBranch.285,95.79832,93.0,100.0,88.0,93.0,100.0,100.0,100.0,93.0,521.406280517578,476.20567016601564,479.55913434709828,532.01131388346357,527.9060516357423,525.13559341430664,548.70877630060374,554.125727335612,537.95078328450529,114,119,1.90301573,114
03/10/2021 10:54:45,spidershot,10,9mm,0,-gitBranch.285,88.80597,87.0,92.0,88.0,94.0,94.0,94.0,78.0,83.0,493.81601431350072,425.41202891956669,431.52792794363842,488.61416422526037,399.55060017903639,517.689585876465,549.24819539388011,575.22256469726563,530.46811485290527,122,134,1.98644912,119
03/10/2021 07:56:33,spidershot,11,9mm,0,-gitBranch.285,93.8775558,100.0,100.0,92.0,92.0,100.0,79.0,100.0,93.0,640.46762724845621,553.339112501878,595.77134958902991,666.114892578125,621.23427429199228,672.64692271839476,777.36146375868054,650.10551335261425,633.3728006998698,94,98,1.53577244,92
03/10/2021 07:55:21,spidershot,11,9mm,0,-gitBranch.285,92.0,92.0,79.0,91.0,100.0,92.0,100.0,92.0,92.0,640.50455663537468,534.94768348106982,677.4312744140625,616.92638905843091,589.48005930582667,704.60142008463549,648.5615234375,737.44719238281255,640.93725077311194,94,100,1.53571522,92
03/10/2021 07:54:09,spidershot,11,9mm,0,-gitBranch.285,87.12871,100.0,93.0,92.0,100.0,77.0,82.0,85.0,69.0,649.70471258477824,560.70129830496649,580.96419114332934,612.58816782633471,687.90408880060374,760.56414116753467,722.64077758789051,672.56886985085225,675.25477952223559,92,101,1.46902323,88
03/09/2021 10:23:30,spidershot,11,9mm,0,-gitBranch.285,89.32039,87.0,80.0,100.0,100.0,91.0,71.0,92.0,100.0,628.97450118369227,619.93896627426159,697.43856557210279,557.83954467773435,565.643300374349,658.771959092882,659.49608696831592,656.86434232271631,620.42714984600366,94,103,1.53574049,92
03/09/2021 07:51:04,spidershot,11,9mm,0,-gitBranch.285,92.15686,90.0,83.0,86.0,100.0,93.0,87.0,100.0,100.0,628.15910194798528,611.437472256747,659.11152648925781,576.33672841389978,626.84220377604163,662.70831705729165,669.57870992024743,620.11809997558589,595.63767418494592,96,102,1.56917632,94
03/09/2021 07:39:04,spidershot,11,9mm,0,-gitBranch.285,91.50943,88.0,87.0,100.0,100.0,91.0,79.0,100.0,92.0,617.32904398810012,626.71694074358254,621.97081298828118,537.83063180106024,568.65243530273449,615.66083374023435,700.46422576904286,675.77674449573863,638.44508870442712,98,106,1.61923575,97
03/09/2021 07:36:05,spidershot,11,9mm,0,-gitBranch.285,86.36364,73.0,86.0,91.0,93.0,75.0,86.0,93.0,100.0,623.38239876429236,747.13032766488891,589.25595092773426,596.11059824625659,516.16443105844348,620.70359450120191,642.84015447443187,667.166537475586,615.452168782552,96,110,1.58587646,95
03/09/2021 07:22:30,spidershot,12,9mm,0,-gitBranch.285,91.62011,95.0,100.0,81.0,96.0,95.0,95.0,87.0,88.0,349.68490281579079,289.55054673694428,279.46456828870271,323.07377956224536,322.98630142211908,363.10644929305363,420.83911132812494,428.78375159369574,396.888482135275,172,179,2.73764729,164
