createDate,taskName,mode,weaponName,map,version,timeToTrace,linesTotal,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
03/23/2021 03:24:21,linetrace,10,9mm,0,-gitBranch.285,2.0,29,99.0789,88.0,100.0,88.0,88.0,100.0,100.0,80.0,80.0,2020.8662569724913,1547.0398590087891,1722.3268500434028,1790.203857421875,1848.4481375558037,2228.2744547526045,2522.3822631835938,2335.884033203125,2553.204549153646,30,66,0.493225753,59
03/23/2021 03:23:13,linetrace,10,9mm,0,-gitBranch.285,2.0,32,86.29675,67.0,80.0,89.0,80.0,89.0,80.0,89.0,73.0,1815.9543438251203,1600.8325466579863,1767.5453033447266,1499.5745697021484,1639.6533966064453,2128.5391693115234,2037.3176422119141,1797.2682189941406,2083.7941284179688,33,81,0.543549657,65
03/23/2021 03:22:02,linetrace,10,9mm,0,-gitBranch.285,2.0,32,89.43545,73.0,73.0,73.0,100.0,89.0,73.0,62.0,100.0,1812.7502802922177,1628.0228576660154,1612.8062591552734,1767.2540130615234,1495.2247161865234,1773.4833577473955,2199.8789367675781,2207.2610212053569,1895.3842163085938,33,83,0.5432797,65
03/18/2021 07:50:19,linetrace,10,9mm,0,-gitBranch.285,2.0,33,90.03238,80.0,100.0,73.0,100.0,69.0,69.0,80.0,80.0,1744.674067328958,1309.5763244628906,1459.7638244628906,1518.4891967773438,1550.5391540527346,2140.7460259331597,2047.6728637695317,2002.2387084960938,1857.4949645996094,34,85,0.56824553,68
03/18/2021 07:48:41,linetrace,10,9mm,0,-gitBranch.285,2.0,33,94.41756,89.0,73.0,88.0,82.0,100.0,82.0,91.0,100.0,1748.7825119916131,1390.5709771050347,1642.9392903645833,1635.8375701904297,1685.1724700927734,1918.8678089488637,2085.3401641845703,1883.947285970052,1772.6207953559028,34,78,0.569801331,68
03/17/2021 08:00:14,linetrace,10,9mm,0,-gitBranch.285,1.0,38,84.1022339,80.0,85.0,89.0,89.0,90.0,77.0,82.0,100.0,1542.0569862266645,1335.2941487630208,1500.6282404119318,1340.8486175537109,1338.6535797119141,1593.8287353515625,1840.2776031494141,1690.3965386284722,1717.9866277521307,39,90,0.6441977,77
03/17/2021 07:59:04,linetrace,10,9mm,0,-gitBranch.285,2.0,33,94.64481,82.0,56.0,80.0,91.0,100.0,80.0,100.0,88.0,1745.4300936530615,1323.9330596923828,1726.3283284505208,1608.38720703125,1541.8163384331597,1795.0659586588542,2316.0346069335938,1704.2584228515625,2081.4634857177734,34,83,0.567856133,68
03/17/2021 07:57:48,linetrace,10,9mm,0,-gitBranch.285,2.0,33,93.15222,90.0,100.0,80.0,80.0,100.0,80.0,80.0,100.0,1762.0693994778305,1390.2259063720703,1595.848876953125,1572.1907806396482,1472.5045776367188,1921.5296495225693,2321.4378313337056,2101.3687947591143,2037.2585906982422,34,76,0.560133338,67
03/17/2021 07:55:54,linetrace,10,9mm,0,-gitBranch.285,2.0,33,91.6302643,100.0,89.0,89.0,100.0,100.0,80.0,100.0,100.0,1773.0730941544716,1494.2483961317275,1671.8725128173828,1528.3136901855469,1490.4416809082031,1924.9551595052083,2007.1941528320315,2012.7655181884766,2037.5960964626736,34,71,0.5609587,67
03/15/2021 22:06:06,linetrace,10,9mm,0,-gitBranch.285,1.0,37,92.08643,100.0,100.0,100.0,77.0,90.0,69.0,89.0,82.0,1573.9589885912444,1216.1453260941939,1457.5280317826707,1351.6170876242895,1588.377918590199,1688.7418212890625,2059.4771030970983,1664.7130737304688,1842.0549723307292,38,87,0.6352662,76
03/15/2021 22:04:50,linetrace,10,9mm,0,-gitBranch.285,1.0,35,89.96529,90.0,82.0,100.0,82.0,75.0,82.0,90.0,82.0,1659.0991420745852,1283.1729719373916,1468.8895438058034,1533.6007961697048,1576.1400035511363,1736.4934969815338,1994.67766655816,1762.7736293247769,1899.0516221788193,36,85,0.601933241,72
