createDate,taskName,mode,weaponName,map,version,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
03/15/2021 01:09:01,motionshot,11,9mm,0,-gitBranch.285,67.6691742,71.0,94.0,77.0,67.0,50.0,64.0,78.0,40.0,621.49677213033044,544.39109090169268,531.51320457458507,514.61174926757815,556.98612976074219,734.58939785427538,567.80451965332031,496.64654541015625,876.18408907376806,96,133,1.50238645,90
03/09/2021 07:28:17,motionshot,12,9mm,0,-gitBranch.285,86.2068939,87.0,77.0,87.0,88.0,93.0,82.0,100.0,76.0,374.14115144021838,325.85896989277438,340.473316040039,379.64991494883657,350.38702878085041,406.78801365902552,423.6839714050293,363.044684776893,455.90816243489587,160,174,2.50399518,150
03/09/2021 07:27:05,motionshot,12,9mm,0,-gitBranch.285,83.62573,94.0,76.0,86.0,93.0,83.0,61.0,94.0,81.0,388.09178736302755,344.81746790959284,368.76627676827565,371.72995971679688,337.93919494628904,399.11294746398926,538.80093002319336,417.95635154030538,407.92275020054404,154,171,2.38706613,143
03/08/2021 11:48:27,motionshot,12,9mm,0,-gitBranch.285,83.43195,83.0,84.0,81.0,91.0,94.0,80.0,79.0,76.0,390.84196073245374,337.7026553683811,359.16462933575667,333.72491531372071,362.94794464111339,464.18956565856939,484.00870305841624,437.97772870744978,453.72939554850257,154,169,2.35371351,141
03/06/2021 06:12:09,motionshot,10,9mm,0,-gitBranch.285,80.8823547,72.0,80.0,100.0,78.0,75.0,75.0,83.0,91.0,532.8275913511003,408.68226841517861,456.68237559000653,423.40499114990234,472.27291463216142,669.56812540690112,673.54346876878,490.49421522352429,657.4482398399939,112,136,1.83624077,110
03/04/2021 22:46:16,motionshot,10,9mm,0,-gitBranch.285,78.01418,87.0,88.0,100.0,88.0,59.0,74.0,79.0,65.0,539.99980857155549,502.74516677856457,462.51388956705728,496.42798360188806,539.13252845177283,504.61122221105234,627.87093561345876,624.91495666503909,607.39803886413574,110,141,1.83628607,110
03/04/2021 22:44:25,motionshot,10,9mm,0,-gitBranch.285,75.0,80.0,88.0,76.0,85.0,76.0,58.0,77.0,63.0,561.4901291469356,408.77705637613929,394.88295569786658,479.70558443936432,511.39365328275238,643.46160125732422,756.95776062011714,637.38925875150244,633.51378207736548,106,140,1.75280964,105
03/04/2021 22:43:14,motionshot,10,9mm,0,-gitBranch.285,72.41379,57.0,80.0,73.0,80.0,88.0,71.0,71.0,65.0,562.38774943801548,527.24713134765625,453.8284962972005,542.21980285644531,486.76599693298346,612.76060104370106,680.29614003499341,669.16370307074658,565.24797276088157,106,145,1.75272942,105
03/03/2021 05:58:48,motionshot,10,9mm,0,-gitBranch.285,86.33093,86.0,95.0,95.0,80.0,72.0,89.0,91.0,79.0,493.63845875637588,445.69237352454138,409.79342796688979,421.06500434875488,440.53176161822148,608.2185001373291,645.15723927815748,592.88472290039067,564.5254932750355,122,139,2.00317979,120
03/03/2021 05:55:44,motionshot,10,9mm,0,-gitBranch.285,78.169014,74.0,67.0,88.0,72.0,76.0,85.0,81.0,86.0,533.76935768127419,421.2950378417969,424.2283489520733,423.56941121419266,422.53067234584262,745.52625579834,587.42359924316406,476.29365757533486,642.22148132324219,112,142,1.85290873,111
03/03/2021 05:17:24,motionshot,10,9mm,0,-gitBranch.285,80.0,86.0,87.0,85.0,70.0,71.0,79.0,84.0,75.0,498.32648442586259,525.45053833007807,492.23815155029297,476.40737152099609,468.88395808293262,492.178717476981,523.1850958930122,467.67148166232641,516.32913425990512,120,150,2.00319076,120
